AU,TI,SO,AB,PY,VL,DI
"Hussain, AN; Al-Jubori, WKS; Kadom, HF",Hybrid Design of Optimal Capacitor Placement and Reconfiguration for Performance Improvement in a Radial Distribution System,JOURNAL OF ENGINEERING,"Distribution System Reconfiguration (DSR) and Optimal Capacitor Placement (OCP) are the most alternative techniques for increasing the power system generation and covering the growth of power demands. These techniques reduce the Radial Distribution System (RDS) losses and enhance the voltage profile. Combining both techniques gives better performance than using the individual technique. In this paper, two operation modes were implemented. First, the individual mode of OCP is applied. Second, the dual mode of DSR after OCP process is applied. Multiobjective functions with considering the weighting factors are used for minimizing real losses, improving voltage profile, and increasing saving cost. The optimal selections of open switches, location, and size of capacitors in the individual and dual design for RDS are achieved using four different optimization algorithms. These algorithms are Modified Biogeography-Based Optimization (MBBO) algorithm, Cuckoo Search (CS) algorithm, Modified Imperialist Competitive (MIC) algorithm, and Modified Bacterial Foraging-Based Optimization (MBFBO) algorithm. These algorithms are applied for two standard networks (IEEE 33- and IEEE 69-bus). Comparisons among the proposed algorithms are done, and the results demonstrated that the MBBO algorithm is the most strong and fast algorithm to attain the optimum solution. In addition, comparisons with literature works are done to validate the effectiveness of proposed algorithms.",2019,2019,10.1155/2019/1696347
"Li, RL; Tong, TL; Wu, SJ; Chai, MW; Xie, SG",Multiple factors govern the biogeographic distribution of archaeal community in mangroves across China,ESTUARINE COASTAL AND SHELF SCIENCE,"Archaea can participate in the biogeochemical processes in mangrove ecosystem. The biogeographic distribution of archaeal community in mangroves remains poorly known. In this study, six mangroves at different geographic locations in China were selected. Mangrove archaeal community was found to considerably change with geographic location, which might be driven by a variety of environmental variables (etc., pH and carbon and nitrogen contents). Archaeal communities were primarily comprised of Thaumarchaeota (54.7-85.2%) and Euryarchaeota (11.8-43.9%). This work could provide some new insights towards the distribution of archaeal community in mangrove ecosystem.",2019,231,10.1016/j.ecss.2019.106414
"Nguyen, CH; Beattie, GAC; Haigh, AM; Astuti, IP; Mabberley, DJ; Weston, PH; Holford, P",Molecular differentiation of the Murraya paniculata Complex (Rutaceae: Aurantioideae: Aurantieae),BMC EVOLUTIONARY BIOLOGY,"Background: Orange jasmine has a complex nomenclatural history and is now known as Murraya paniculata (L.) Jack. Our interest in this common ornamental stemmed from the need to resolve its identity and the identities of closely related taxa as hosts of the pathogen Candidatus Liberibacter asiaticus and its vector Diaphorina citri. Understanding these microbe-vector-plant relationships has been hampered by taxonomic confusion surrounding Murraya at both the generic and specific levels. Results: To resolve the taxonomic uncertainty, six regions of the maternally-inherited chloroplastal genome and part of the nuclear-encoded ITS region were amplified from 85 accessions of Murraya and Merrillia using the polymerase chain reaction (PCR). Clustering used maximum parsimony (MP), maximum likelihood (ML) and Bayesian inference (BI). Chronograms were produced for molecular dating, and to test the monophyly of Murraya rigorously, using selected accessions of Murraya and 26 accessions of the Rutaceae and Simarubaceae. Sequence data from the ITS and chloroplastal regions suggest that Murraya paniculata (sensu (Swingle WT and Reece CR, The Citrus Industry, p. 190-430, 1967)) can be separated into four distinct but morphologically somewhat cryptic taxa: Murraya paniculata (sensu (Mabberley DJ, Taxon 65:366-371, 2016)), M. elongata, M. sumatrana and M. lucida. In addition, Murraya omphalocarpa was identified as a putative hybrid of M. paniculata and M. lucida with two geographically isolated nothovarieties representing reciprocal crosses. Murraya is monophyletic, and molecular dating suggests that it diverged from Merrillia during the Miocene (23-5 Ma) with this Murraya group speciating and dispersing during the Middle Miocene onwards. Conclusions: The accessions from Asia and Australasia used in this study grouped into biogeographical regions that match herbarium specimen records for the taxa that suggest natural allopatric distributions with limited overlap and hybridity. Murraya paniculata has been distributed around the world as an ornamental plant. The division of the Murraya paniculata complex into four species with a rare hybrid also confirms morphological studies.",2019,19,10.1186/s12862-019-1555-4
"Kido, A; Hood, ME",Mining new sources of natural history observations for disease interactions,AMERICAN JOURNAL OF BOTANY,,2020,107,10.1002/ajb2.1409
"del Campo, J; Bass, D; Keeling, PJ",The eukaryome: Diversity and role of microeukaryotic organisms associated with animal hosts,FUNCTIONAL ECOLOGY,"Awareness of the roles that host-associated microbes play in host biology has escalated in recent years. However, microbiome studies have focused essentially on bacteria, and overall, we know little about the role of host-associated eukaryotes outside the field of parasitology. Despite that, eukaryotes and microeukaryotes in particular are known to be common inhabitants of animals. In many cases, and/or for long periods of time, these associations are not associated with clinical signs of disease. Unlike the study of bacterial microbiomes, the study of the microeukaryotes associated with animals has largely been restricted to visual identification or molecular targeting of particular groups. So far, since the publication of the influential Human Microbiome Project Consortium paper in 2012, few studies have been published dealing with the microeukaryotes using a high-throughput barcoding microbiome-like approach in animals. Nonetheless, microeukaryotes have an impact on the host physiology and lifestyle and also on the diversity and composition of the wider symbiotic community of bacteria and viruses. Beyond being parasites, microeukaryotes have many different roles in animals. For example, they directly interact with the host immune system in mammals; they have a key role on cellulose degradation, lignocellulose in xylophage termites and cockroaches; and they have an essential role in providing photosynthates to reef-building corals. Certain microeukaryotic lineages have diversified within hosts more than others. These cases of co-evolution led to different forms of symbiosis: from mutualism (like Symbiodinium in corals or parabasalians in termites), to commensalism (Blastocystis in humans) or to strict parasitism (apicomplexans or microsporidians in a broad range of hosts). We will review the ecological context and the evolutionary mechanisms that ended up in these different symbiotic scenarios, across the taxonomic range of both symbionts and their metazoan hosts. Host-associated microeukaryotes have impacts at many levels, from individual animal health to ecosystems and to agroeconomy. Therefore, it is crucial to have a better understanding of their diversity and roles. Novel methodologies are being developed to access the eukaryotic fraction of the microbiome using high-throughput methods. From -omics, to imaging and barcoding approaches biased against metazoans, these novel methodologies and strategies are helping us to increase and improve our knowledge of microeukaryotes in animal-associated environments. A free Plain Language Summary can be found within the Supporting Information of this article.",,,10.1111/1365-2435.13490
"Haro-Moreno, JM; Rodriguez-Valera, F; Rosselli, R; Martinez-Hernandez, F; Roda-Garcia, JJ; Gomez, ML; Fornas, O; Martinez-Garcia, M; Lopez-Perez, M",Ecogenomics of the SAR11 clade,ENVIRONMENTAL MICROBIOLOGY,"Members of the SAR11 clade, despite their high abundance, are often poorly represented by metagenome-assembled genomes. This fact has hampered our knowledge about their ecology and genetic diversity. Here we examined 175 SAR11 genomes, including 47 new single-amplified genomes. The presence of the first genomes associated with subclade IV suggests that, in the same way as subclade V, they might be outside the proposed Pelagibacterales order. An expanded phylogenomic classification together with patterns of metagenomic recruitment at a global scale have allowed us to define new ecogenomic units of classification (genomospecies), appearing at different, and sometimes restricted, metagenomic data sets. We detected greater microdiversity across the water column at a single location than in samples collected from similar depth across the global ocean, suggesting little influence of biogeography. In addition, pangenome analysis revealed that the flexible genome was essential to shape genomospecies distribution. In one genomospecies preferentially found within the Mediterranean, a set of genes involved in phosphonate utilization was detected. While another, with a more cosmopolitan distribution, was unique in having an aerobic purine degradation pathway. Together, these results provide a glimpse of the enormous genomic diversity within this clade at a finer resolution than the currently defined clades.",,,10.1111/1462-2920.14896
"Chung, NC; Miasojedow, B; Startek, M; Gambin, A",Jaccard/Tanimoto similarity test and estimation methods for biological presence-absence data,BMC BIOINFORMATICS,"Background: A survey of presences and absences of specific species across multiple biogeographic units (or bioregions) are used in a broad area of biological studies from ecology to microbiology. Using binary presence-absence data, we evaluate species co-occurrences that help elucidate relationships among organisms and environments. To summarize similarity between occurrences of species, we routinely use the Jaccard/Tanimoto coefficient, which is the ratio of their intersection to their union. It is natural, then, to identify statistically significant Jaccard/Tanimoto coefficients, which suggest non-random co-occurrences of species. However, statistical hypothesis testing using this similarity coefficient has been seldom used or studied. Results: We introduce a hypothesis test for similarity for biological presence-absence data, using the Jaccard/Tanimoto coefficient. Several key improvements are presented including unbiased estimation of expectation and centered Jaccard/Tanimoto coefficients, that account for occurrence probabilities. The exact and asymptotic solutions are derived. To overcome a computational burden due to high-dimensionality, we propose the bootstrap and measurement concentration algorithms to efficiently estimate statistical significance of binary similarity. Comprehensive simulation studies demonstrate that our proposed methods produce accurate p-values and false discovery rates. The proposed estimation methods are orders of magnitude faster than the exact solution, particularly with an increasing dimensionality. We showcase their applications in evaluating co-occurrences of bird species in 28 islands of Vanuatu and fish species in 3347 freshwater habitats in France. The proposed methods are implemented in an open source R package called jaccard (https://cran.r-project.org/package=jaccard). Conclusion: We introduce a suite of statistical methods for the Jaccard/Tanimoto similarity coefficient for binary data, that enable straightforward incorporation of probabilistic measures in analysis for species co-occurrences. Due to their generality, the proposed methods and implementations are applicable to a wide range of binary data arising from genomics, biochemistry, and other areas of science.",2019,20,10.1186/s12859-019-3118-5
"Wang, ZB; Sun, YY; Li, Y; Chen, XL; Wang, P; Ding, HT; Chen, B; Zhang, XY; Song, XY; Wang, M; McMinn, A; Zhang, YZ; Qin, QL","Significant Bacterial Distance-Decay Relationship in Continuous, Well-Connected Southern Ocean Surface Water",MICROBIAL ECOLOGY,"Recently, an increasing number of studies have focused on the biogeographic distribution of marine microorganisms. However, the extent to which geographic distance can affect marine microbial communities is still unclear, especially for the microbial communities in well-connected surface seawaters. In this study, the bacterial community compositions of 21 surface seawater samples, that were distributed over a distance of 7800 km, were surveyed to investigate how bacterial community similarity changes with increasing geographical distance. Proteobacteria and Bacteroidetes were the dominant bacterial phyla, with Proteobacteria accounting for 52.6-92.5% and Bacteroidetes comprising 3.5-46.9% of the bacterial communities. A significant bacterial distance-decay relationship was observed in the well-connected Southern Ocean surface seawater. The number of pairwise shared operational taxonomic units (OTUs), and community similarities tended to decrease with increasing geographic distance. Calculation of the similarity indices with all, abundant or rare OTUs did not affect the observed distance-decay relationship. Spatial distance can largely explain the observed bacterial community variation. This study shows that even in well-connected surface waters, bacterial distance-decay patterns can be found as long as the geographical distance is great enough. The biogeographic patterns should then be present for marine microorganisms considering the large size and complexity of the marine ecosystem.",,,10.1007/s00248-019-01472-x
"Yang, J; Wang, YF; Cui, XY; Xue, K; Zhang, YM; Yu, ZS",Habitat filtering shapes the differential structure of microbial communities in the Xilingol grassland,SCIENTIFIC REPORTS,"The spatial variability of microorganisms in grasslands can provide important insights regarding the biogeographic patterns of microbial communities. However, information regarding the degree of overlap and partitions of microbial communities across different habitats in grasslands is limited. This study investigated the microbial communities in three distinct habitats from Xilingol steppe grassland, i.e. animal excrement, phyllosphere, and soil samples, by Illumina MiSeq sequencing. All microbial community structures, i.e. for bacteria, archaea, and fungi, were significantly distinguished according to habitat. A high number of unique microorganisms but few coexisting microorganisms were detected, suggesting that the structure of microbial communities was mainly regulated by species selection and niche differentiation. However, the sequences of those limited coexisting microorganisms among the three different habitats accounted for over 60% of the total sequences, indicating their ability to adapt to variable environments. In addition, the biotic interactions among microorganisms based on a co-occurrence network analysis highlighted the importance of Microvirga, Blastococcus, RB41, Nitrospira, and four norank members of bacteria in connecting the different microbiomes. Collectively, the microbial communities in the Xilingol steppe grassland presented strong habitat preferences with a certain degree of dispersal and colonization potential to new habitats along the animal excrement-phyllosphere-soil gradient. This study provides the first detailed comparison of microbial communities in different habitats in a single grassland, and offers new insights into the biogeographic patterns of the microbial assemblages in grasslands.",2019,9,10.1038/s41598-019-55940-y
"Farrer, EC; Porazinska, DL; Spasojevic, MJ; King, AJ; de Mesquita, CPB; Sartwell, SA; Smith, JG; White, CT; Schmidt, SK; Suding, KN",Soil Microbial Networks Shift Across a High-Elevation Successional Gradient,FRONTIERS IN MICROBIOLOGY,"While it is well established that microbial composition and diversity shift along environmental gradients, how interactions among microbes change is poorly understood. Here, we tested how community structure and species interactions among diverse groups of soil microbes (bacteria, fungi, non-fungal eukaryotes) change across a fundamental ecological gradient, succession. Our study system is a high-elevation alpine ecosystem that exhibits variability in successional stage due to topography and harsh environmental conditions. We used hierarchical Bayesian joint distribution modeling to remove the influence of environmental covariates on species distributions and generated interaction networks using the residual species-to-species variance-covariance matrix. We hypothesized that as ecological succession proceeds, diversity will increase, species composition will change, and soil microbial networks will become more complex. As expected, we found that diversity of most taxonomic groups increased over succession, and species composition changed considerably. Interestingly, and contrary to our hypothesis, interaction networks became less complex over succession (fewer interactions per taxon). Interactions between photosynthetic microbes and any other organism became less frequent over the gradient, whereas interactions between plants or soil microfauna and any other organism were more abundant in late succession. Results demonstrate that patterns in diversity and composition do not necessarily relate to patterns in network complexity and suggest that network analyses provide new insight into the ecology of highly diverse, microscopic communities.",2019,10,10.3389/fmicb.2019.02887
