AU	TI	SO	AB	PY	VL	DI
Wang, XB; Lu, XT; Yao, J; Wang, ZW; Deng, Y; Cheng, WX; Zhou, JZ; Han, XG	Habitat-specific patterns and drivers of bacterial beta-diversity in Chinas drylands	ISME JOURNAL	The existence of biogeographic patterns among most free-living microbial taxa has been well established, yet little is known about the underlying mechanisms that shape these patterns. Here, we examined soil bacterial beta-diversity across different habitats in the drylands of northern China. We evaluated the relative importance of environmental factors versus geographic distance to a distance-decay relationship, which would be explained by the relative effect of basic ecological processes recognized as drivers of diversity patterns in macrobial theoretical models such as selection and dispersal. Although the similarity of bacterial communities significantly declined with increasing geographic distance, the distance-decay slope and the relative importance of factors driving distance-decay patterns varied across different habitats. A strong distance-decay relationship was observed in the alpine grassland, where the community similarity was influenced only by the environmental factors. In contrast, geographic distance was solely responsible for community similarity in the desert. Even the average compositional similarity among locations in the desert was distinctly lower compared with those in other habitats. We found no evidence that dispersal limitation strongly influenced the beta-diversity of bacterial communities in the desert grassland and typical grassland. Together, our results provide robust evidence of habitat specificity for microbial diversity patterns and their underlying drivers. Our findings suggest that microorganisms also have multiple drivers of diversity patterns and some of which may be parallel to some fundamental processes for explaining biodiversity patterns in macroorganisms.	2017	11	10.1038/ismej.2017.11
Zhang, S; Song, WZ; Yu, M; Lin, XZ	Comparative genomics analysis of five Psychrobacter strains isolated from world-wide habitats reveal high intra-genus variations	EXTREMOPHILES	Psychrobacter has been regarded as an important genus for bacterial cold adaptation studies. However, members of this genus are highly varied in terms of both cold adaptability and genome content. To get an understanding of the diversity of members of this genus, five Psychrobacter strains (G, K5, 273-4, PAMC21119 and PRwf-1), with publicly available complete/draft genome, were selected and comprehensive comparative genomics analyses were performed among them. The closest phylogenetic relationship, highest average nucleotide identity (96.78%) and best sequence synteny were identified between strains G and K5. These findings suggest they belong to the same species, despite the long geographic distance between them (Antarctic and Siberia). 4542 gene clusters in total were identified from the five genomes, and of which 1424 were shared by all of them. The number of genes unique to strains G, K5, 273-4, PAMC21119 and PRwf-1 are 183, 188, 300, 637 and 665, respectively. COG assignment revealed their differences in gene content related to stress response. The extensive sequence rearrangements and the large number of genes unique to strain PAMC21119 and PRwf-1 suggest they may have experienced a high level of gene exchanges in the permafrost soil and the surface of fish skin.	2017	21	10.1007/s00792-017-0927-1
Yao, MJ; Rui, JP; Niu, HS; Hedenec, P; Li, JB; He, ZL; Wang, JM; Cao, WD; Li, XZ	The differentiation of soil bacterial communities along a precipitation and temperature gradient in the eastern Inner Mongolia steppe	CATENA	Understanding the differentiation of soil bacterial communities under precipitation and temperature gradients is crucial for assessing the impacts of environmental filters on ecosystem structure and function. Here we investigated spatial variations of bacterial communities along a precipitation and temperature transect in the eastern Inner Mongolia steppe, China. The aims are to understand the biogeographic pattern and key drivers shaping soil bacterial communities along the transect. Our results shoved that the soil bacterial community along the 451-km transect exhibited the distance-decay relationship, decreasing in community similarity with geographic distance. Obvious changes in the bacterial community structure occurred at an annual precipitation from 215 to 261 mm, which was close to the boundary between arid and semi-arid systems. The relative abundances of Proteobacteria, Bacteroidetes, and Acidobacteria increased with precipitation, while those of Actinobacteria, Chloroflexi, and Gemmatimonadetes decreased. Environmental filtering was observed to be the key in shaping bacterial biogeographic patterns, and climate conditions exert indirect effects on soil bacterial communities mainly through direct effects on soil properties. Soil pH and plant coverage were important to soil bacterial communities in both arid and semi-arid steppes. Our findings provided insights for understanding the linkages among geographic distance, environmental filters, and soil bacterial communities in Eurasian steppe ecosystems. (C) 2017 Elsevier B.V. All rights reserved.	2017	152	10.1016/j.catena.2017.01.007
Zhao, F; Xu, KD	Distribution of Ciliates in Intertidal Sediments across Geographic Distances: A Molecular View	PROTIST	The estimation of the diversity and geographic distribution of protists in particular ciliates has long been an ongoing debate. We estimated the distribution of ciliates in intertidal sediments with geographic distance ranging from 10 cm to 1,000 km, using high-throughput DNA sequencing. Higher community similarity, in particular that of rare ciliate taxa, occurred between replicates than between sites. Statistical analyses showed that the community dissimilarities of both abundant and moderately abundant ciliates had correlations with geographic distance at the scales of 50 m, 200 km and 1000 km, indicating a distance-decay relationship. No significant correlation was observed for rare taxa. The analysis of Bray-Curtis similarity showed a higher pairwise community similarity in abundant taxa than in moderately abundant taxa, and that in rare taxa was the lowest. Abundant taxa usually can disperse in a wider range than rare taxa, though their distribution is restricted by distance to some extent. Rare taxa are potentially more sensitive to changing environments, but no distance-decay relationship could be observed. The data indicate contrasting patterns of geographic distribution of the abundant and rare ciliate taxa and a weak distance-decay relationship for relatively abundant taxa at a scale over 50 m. (C) 2017 Elsevier GmbH. All rights reserved.	2017	168	10.1016/j.protis.2017.01.001
Kang, LL; Jiang, QQ; Tan, CH	Remarkable advocates: An investigation of geographic distance and social capital for crowdfunding	INFORMATION & MANAGEMENT	This study investigates the advocates of crowdfunding projects. Advocates refer to individuals who have invested in a project, and the information of such endorsement is spread through their social networks. By using a combined set of sizable data, this research empirically examines the relationships between two attributes of advocates, namely their geographical distance and social capital, and funding performance. Results reveal that higher funding can be secured with advocates who are (1) of further geographical distance and (2) of higher social capital. Additionally, the relationship between advocates social capital and funding performance is further enhanced with a lower geographical propinquity. (C) 2016 Elsevier B.V. All rights reserved.	2017	54	10.1016/j.im.2016.09.001
Whittaker, KA; Rynearson, TA	Evidence for environmental and ecological selection in a microbe with no geographic limits to gene flow	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	The ability for organisms to disperse throughout their environment is thought to strongly influence population structure and thus evolution of diversity within species. A decades-long debate surrounds processes that generate and support high microbial diversity, particularly in the ocean. The debate concerns whether diversification occurs primarily through geographic partitioning (where distance limits gene flow) or through environmental selection, and remains unresolved due to lack of empirical data. Here we show that gene flow in a diatom, an ecologically important eukaryotic microbe, is not limited by global-scale geographic distance. Instead, environmental and ecological selection likely play a more significant role than dispersal in generating and maintaining diversity. We detected significantly diverged populations (FST > 0.130) and discovered temporal genetic variability at a single site that was on par with spatial genetic variability observed over distances of 15,000 km. Relatedness among populations was decoupled from geographic distance across the global ocean and instead, correlated significantly with water temperature and whole-community chlorophyll a. Correlations with temperature point to the importance of environmental selection in structuring populations. Correlations with whole-community chlorophyll a, a proxy for autotrophic biomass, suggest that ecological selection via interactions with other plankton may generate and maintain population genetic structure in marine microbes despite globalscale dispersal. Here, we provide empirical evidence for global gene flow in a marine eukaryotic microbe, suggesting that everything holds the potential to be everywhere, with environmental and ecological selection rather than geography or dispersal dictating the structure and evolution of diversity over space and time.	2017	114	10.1073/pnas.1612346114
Marino, CM; Pawlik, JR; Lopez-Legentil, S; Erwin, PM	Latitudinal variation in the microbiome of the sponge Ircinia campana correlates with host haplotype but not anti-predatory chemical defense	MARINE ECOLOGY PROGRESS SERIES	Many marine sponges host diverse symbiotic microbial communities that have been implicated in the production of secondary metabolites. These metabolites may defend the host sponge from potential predators. Variability in symbiont communities across the range of the host sponge could alter levels of chemical defense. To investigate the relationship between symbiont composition and chemical defense, the microbiomes and palatability of tissue samples from Ircinia campana were characterized from 5 sites along a latitudinal gradient spanning temperate (South Atlantic Bight, SAB) and tropical (Caribbean) regions. Terminal restriction fragment length polymorphism analysis and Illumina sequencing of 16S ribosomal RNA genes revealed that I. campana from different locations contained significantly distinct microbiomes and exhibited a consistent relationship of lower symbiont similarity over greater geographic distance (i.e. distance-decay). However, crude organic extracts of all samples of I. campana were unpalatable to assay fish Thalassoma bifasciatum in laboratory assays, indicating no difference in chemical defense across locations. Distinct haplotypes of I. campana were detected in populations from the SAB and Caribbean, correlating with the observed patterns of latitudinal variation in microbial symbiont communities. Our findings indicate that I. campana is chemically defended from fish predators across the range of the species and that latitudinal variation occurs in the microbiome of I. campana, driven by a combination of host-specific factors and region-specific environmental filtering of symbiont communities.	2017	565	10.3354/meps12015
Price, MR; ORorke, R; Amend, AS; Hadfield, MG	Diet selection at three spatial scales: Implications for conservation of an endangered Hawaiian tree snail	BIOTROPICA	Several recent studies suggest local adaptation in multiple taxa across Hawaiis steep environmental gradients. Restoration efforts in devastated tropical island ecosystems may be deficient if we lack an understanding of the interactions and dependencies in communities that occur along these gradients. Endangered Hawaiian tree snails are part of a snail-epiphyte-plant system where they graze fungi and other microbes on the leaf surface, a process difficult to observe using conventional techniques. Tree snails have undergone catastrophic decline due to introduced predators, removal by shell collectors, and human-influenced habitat degradation. Prior to this study, little was known about the relationship among tree-snails, their host plants, and the epiphytic microbes on which they feed. In this study, we identified scale-dependent selection of substrates in Achatinella sowerbyana and Achatinella lila across the species ranges. We assessed: (1) within-plant diet selection using high-throughput DNA sequencing (micro-scale); (2) among-plant selection of tree host species (small-scale); (3) and the influence of climate on this system (macro-scale). Selection of substrates occurred at two scales: fungal communities in fecal samples differed in composition from those available on leaf surfaces; and at all sites, snail occurrence on Metrosideros polymorpha, a foundational forest plant, was significantly higher than expected based on availability. Habitat restoration efforts should focus on out-planting of M. polymorpha, the preferred snail host tree, in degraded habitat. Fungal differences across sites suggest relocation efforts to predator-free enclosures may be hindered by microbial shifts associated with geographic distance or differing environments.	2017	49	10.1111/btp.12339
Sierra-Garcia, IN; Dellagnezze, BM; Santos, VP; Chaves, MR; Capilla, R; Neto, EVS; Gray, N; Oliveira, VM	Microbial diversity in degraded and non-degraded petroleum samples and comparison across oil reservoirs at local and global scales	EXTREMOPHILES	Microorganisms have shown their ability to colonize extreme environments including deep subsurface petroleum reservoirs. Physicochemical parameters may vary greatly among petroleum reservoirs worldwide and so do the microbial communities inhabiting these different environments. The present work aimed at the characterization of the microbiota in biodegraded and non-degraded petroleum samples from three Brazilian reservoirs and the comparison of microbial community diversity across oil reservoirs at local and global scales using 16S rRNA clone libraries. The analysis of 620 16S rRNA bacterial and archaeal sequences obtained from Brazilian oil samples revealed 42 bacterial OTUs and 21 archaeal OTUs. The bacterial community from the degraded oil was more diverse than the non-degraded samples. Non-degraded oil samples were overwhelmingly dominated by gammaproteobacterial sequences with a predominance of the genera Marinobacter and Marinobacterium. Comparisons of microbial diversity among oil reservoirs worldwide suggested an apparent correlation of prokaryotic communities with reservoir temperature and depth and no influence of geographic distance among reservoirs. The detailed analysis of the phylogenetic diversity across reservoirs allowed us to define a core microbiome encompassing three bacterial classes (Gammaproteobacteria, Clostridia, and Bacteroidia) and one archaeal class (Methanomicrobia) ubiquitous in petroleum reservoirs and presumably owning the abilities to sustain life in these environments.	2017	21	10.1007/s00792-016-0897-8
Hermans, SM; Buckley, HL; Case, BS; Curran-Cournane, F; Taylor, M; Lear, G	Bacteria as Emerging Indicators of Soil Condition	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	Bacterial communities are important for the health and productivity of soil ecosystems and have great potential as novel indicators of environmental per-turbations. To assess how they are affected by anthropogenic activity and to determine their ability to provide alternative metrics of environmental health, we sought to define which soil variables bacteria respond to across multiple soil types and land uses. We determined, through 16S rRNA gene amplicon sequencing, the composition of bacterial communities in soil samples from 110 natural or human-impacted sites, located up to 300 km apart. Overall, soil bacterial communities varied more in response to changing soil environments than in response to changes in climate or increasing geographic distance. We identified strong correlations between the relative abundances of members of Pirellulaceae and soil pH, members of Gaiellaceae and carbon-to-nitrogen ratios, members of Bradyrhizobium and the levels of Olsen P (a measure of plant available phosphorus), and members of Chitinophagaceae and aluminum concentrations. These relationships between specific soil attributes and individual soil taxa not only highlight ecological characteristics of these organisms but also demonstrate the ability of key bacterial taxonomic groups to reflect the impact of specific anthropogenic activities, even in comparisons of samples across large geographic areas and diverse soil types. Overall, we provide strong evidence that there is scope to use relative taxon abundances as biological indicators of soil condition. IMPORTANCE The impact of land use change and management on soil microbial community composition remains poorly understood. Therefore, we explored the relationship between a wide range of soil factors and soil bacterial community composition. We included variables related to anthropogenic activity and collected samples across a large spatial scale to interrogate the complex relationships between various bacterial community attributes and soil condition. We provide evidence of strong relationships between individual taxa and specific soil attributes even across large spatial scales and soil and land use types. Collectively, we were able to demonstrate the largely untapped potential of microorganisms to indicate the condition of soil and thereby influence the way that we monitor the effects of anthropogenic activity on soil ecosystems into the future.	2017	83	10.1128/AEM.02826-16
