AU	TI	SO	AB	PY	DI
Stevens, JL; Olson, JB	Bacterial communities associated with lionfish in their native and invaded ranges	MARINE ECOLOGY PROGRESS SERIES	Lionfish, which are native to the Indo-Pacific, were introduced into the Western Atlantic Ocean, where they have become highly successful invaders. Previous work has demonstrated the presence of distinct lionfish populations within both the invaded and native ranges, but little is known about the specificity of the bacterial communities associated with lionfish surfaces. This study was designed to evaluate whether lionfish-associated bacterial communities reflected the geographical distribution patterns of their host. To this end, fin-associated bacterial communities from sites throughout the native and invaded ranges were analyzed. Lionfish were collected from 9 locations in the invaded Western Atlantic Ocean and 8 locations throughout their native Indo-Pacific. The composition of lionfish-associated bacterial communities was examined by terminal restriction fragment length polymorphism analyses following amplification of the bacterial 16S rRNA gene with universal prokaryotic primers 8F and 1392R. Lionfish-associated external bacterial communities were not significantly different between the native and invaded ranges, but differences were found between collection locations within each range. Although bacterial communities on lionfish skin demonstrated a greater similarity within collection site than between collection sites, a core group of bacteria dominated by members of the. Proteobacteria were found in lionfish-associated communities from both ranges. It is likely that lionfish maintain a core group of external bacteria throughout both the native and invaded ranges, but are differentially colonized by other bacteria from their local environments.	2015	10.3354/meps11323
Nair, AV; Joseph, N; Krishna, K; Sneha, KG; Tom, N; Jangid, K; Nair, S	A comparative study of coastal and clinical isolates of Pseudomonas aeruginosa	BRAZILIAN JOURNAL OF MICROBIOLOGY	Pseudomonas aeruginosa is a ubiquitous Gram-negative bacterium having a versatile metabolic potential and great ecological and clinical significance. The geographical distribution of P. aeruginosa has revealed the existence of an unbiased genetic arrangement in terrestrial isolates. In contrast, there are very few reports about P. aeruginosa strains from marine environments. The present work was aimed at studying the distribution of P. aeruginosa in coastal waters along the Indian Peninsula and understanding the environmental influence on genotypic, metabolic and phenotypic characteristics by comparing marine and clinical isolates. Of the 785 marine isolates obtained on selective media, only 32 (similar to 4.1%) were identified as P. aeruginosa, based on their fatty acid methyl ester profiles. A low Euclidian distance value (<2.5) obtained from chemotaxonomic analysis suggested that all the environmental (coastal and marine) isolates originated from a single species. While UPGMA analyses of AP-PCR and phenotypic profiles separated the environmental and clinical isolates, fatty acid biotyping showed overlapping between most clinical and environmental isolates. Our study revealed the genetic diversity among different environmental isolates of P. aeruginosa. While biogeographical separation was not evident based solely on phenotypic and metabolic typing, genomic and metatranscriptomic studies are more likely to show differences between these isolates. Thus, newer and more insightful methods are required to understand the ecological distribution of this complex group of bacteria.	2015	10.1590/S1517-838246320140502
Liu, L; Hart, MM; Zhang, JL; Cai, XB; Gai, JP; Christie, P; Li, XL; Klironomos, JN	Altitudinal distribution patterns of AM fungal assemblages in a Tibetan alpine grassland	FEMS MICROBIOLOGY ECOLOGY	A better understanding of biogeography of Glomeromycota is essential for the conservation of arbuscular mycorrhizal (AM) fungal species and the ecosystem services that they provide worldwide. We examined the spatial dynamics of AM fungi along two slopes (4149 m a.s.l. to the summit at 5033 m a.s.l.) of Mount Mila on the Tibetan Plateau. Our hypothesis was that AM fungal communities at higher elevation would show distinct assemblages with lower diversity in conditions of increasing environmental harshness. A total of 52 operational taxonomic units (OTUs) spanning all four orders were detected and some OTUs were habitat specific. Nearly 30% of the OTUs were new phylotypes, including two family-like clades. Distinct communities of AM fungi were found at the higher elevation, demonstrating potential niche differentiation along the elevation gradient. Elevation patterns of taxon richness/diversity differed between the two transects, decreasing with increasing elevation on the eastern slope and being unimodal (or lacking a pattern) on the western slope. Taken together, our findings provide evidence of a significant spatial structure of AM fungi across the elevation gradient, with the distribution patterns of these fungi regulated simultaneously by the plant communities, soil properties and climatic conditions in this plateau montane ecosystem.	2015	10.1093/femsec/fiv078
Souffreau, C; Van der Gucht, K; van Gremberghe, I; Kosten, S; Lacerot, G; Lobao, LM; Huszar, VLD; Roland, F; Jeppesen, E; Vyverman, W; De Meester, L	Environmental rather than spatial factors structure bacterioplankton communities in shallow lakes along a > 6000km latitudinal gradient in South America	ENVIRONMENTAL MICROBIOLOGY	Metacommunity studies on lake bacterioplankton indicate the importance of environmental factors in structuring communities. Yet most of these studies cover relatively small spatial scales. We assessed the relative importance of environmental and spatial factors in shaping bacterioplankton communities across a >6000km latitudinal range, studying 48 shallow lowland lakes in the tropical, tropicali (isothermal subzone of the tropics) and tundra climate regions of South America using denaturing gradient gel electrophoresis. Bacterioplankton community composition (BCC) differed significantly across regions. Although a large fraction of the variation in BCC remained unexplained, the results supported a consistent significant contribution of local environmental variables and to a lesser extent spatial variables, irrespective of spatial scale. Upon correction for space, mainly biotic environmental factors significantly explained the variation in BCC. The abundance of pelagic cladocerans remained particularly significant, suggesting grazer effects on bacterioplankton communities in the studied lakes. These results confirm that bacterioplankton communities are predominantly structured by environmental factors, even over a large-scale latitudinal gradient (6026km), and stress the importance of including biotic variables in studies that aim to understand patterns in BCC.	2015	10.1111/1462-2920.12692
Roeselers, G; Coolen, J; van der Wielen, PWJJ; Jaspers, MC; Atsma, A; de Graaf, B; Schuren, F	Microbial biogeography of drinking water: patterns in phylogenetic diversity across space and time	ENVIRONMENTAL MICROBIOLOGY	In this study, we collected water from different locations in 32 drinking water distribution networks in the Netherlands and analysed the spatial and temporal variation in microbial community composition by high-throughput sequencing of 16S rRNA gene amplicons. We observed that microbial community compositions of raw source and processed water were very different for each distribution network sampled. In each network, major differences in community compositions were observed between raw and processed water, although community structures of processed water did not differ substantially from end-point tap water. End-point water samples within the same distribution network revealed very similar community structures. Network-specific communities were shown to be surprisingly stable in time. Biofilm communities sampled from domestic water metres varied distinctly between households and showed no resemblance to planktonic communities within the same distribution networks. Our findings demonstrate that high-throughput sequencing provides a powerful and sensitive tool to probe microbial community composition in drinking water distribution systems. Furthermore, this approach can be used to quantitatively compare the microbial communities to match end-point water samples to specific distribution networks. Insight in the ecology of drinking water distribution systems will facilitate the development of effective control strategies that will ensure safe and high-quality drinking water.	2015	10.1111/1462-2920.12739
Wang, YM; Yang, J; Liu, LMA; Yu, Z	Quantifying the effects of geographical and environmental factors on distribution of stream bacterioplankton within nature reserves of Fujian, China	ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH	Bacterioplankton are important components of freshwater ecosystems and play essential roles in ecological functions and processes; however, little is known about their geographical distribution and the factors influencing their ecology, especially in stream ecosystems. To examine how geographical and environmental factors affect the composition of bacterioplankton communities, we used denaturing gradient gel electrophoresis and clone sequencing to survey bacterioplankton communities in 31 samples of streamwater from seven nature reserves in Fujian province, southeast China. Our results revealed that dominant bacterioplankton communities exhibited a distinct geographical pattern. Further, we provided evidence for distance decay relationships in bacterioplankton community similarity and found similar community gradients in response to elevation and latitude. Both redundancy analyses and Mantel tests showed that bacterioplankton community composition was significantly correlated with both environmental (electrical conductivity, total phosphorus, and PO4-P) and geographical factors (latitude, longitude, and elevation). Variance partitioning further showed that the joint effect of geographical and environmental factors explained the largest proportion of the variation in distribution of bacterioplankton communities (13.6 %), followed by purely geographical factors (11.2 %), and purely environmental factors (0.6 %). The Betaproteobacteria were the most common taxa in the streams, followed by Firmicutes and Gammaproteobacteria. Therefore, our results suggest that the biogeographical patterns of stream bacterioplankton communities across the Fujian nature reserves are more influenced by geographical factors than by local physicochemical properties.	2015	10.1007/s11356-015-4308-y
Liang, YT; Zhang, X; Zhou, JZ; Li, GH	Long-term oil contamination increases deterministic assembly processes in soil microbes	ECOLOGICAL APPLICATIONS	The mechanisms that drive microbial turnover in time and space have received considerable attention but remain unclear, especially for situations with anthropogenic perturbation. To understand the impact of long-term oil contamination on microbial spatial turnover, 100 soil samples were taken from five oil exploration fields located in different geographic regions across China. The microbial functional diversity was analyzed with a high-throughput functional gene array, GeoChip. Our results indicated that soil microbial -diversity (richness and Shannon diversity index) decreased significantly with contamination. All contaminated and uncontaminated samples exhibited significant spatial autocorrelation between microbial community similarity and spatial distance, as described by a distance-decay relationship (DDR). However, long-term oil exposure flattened the slopes of the DDRs of all of the functional genes and each functional group involved in C/N/P/S cycling, particularly of those involved in contaminant degradation. The relative importance of deterministic and stochastic processes in microbial assembly was determined. The decrease in microbial spatial turnover with long-term oil contamination was coupled with an increase in the proportion of deterministic processes that structured microbial assembly based on null model analysis. The results indicated long-term oil contamination significantly affects soil microbial community spatial structure by acting as an environmental filter to decrease the regional differences distinguishing soil microbial communities.	2015	10.1890/14-1672.1
Orr, CH; Stewart, CJ; Leifert, C; Cooper, JM; Cummings, SP	Effect of crop management and sample year on abundance of soil bacterial communities in organic and conventional cropping systems	JOURNAL OF APPLIED MICROBIOLOGY	AimsTo identify changes in the bacterial community, at the phylum level brought about by varied crop management. Methods and ResultsNext-generation sequencing methods were used to compare the taxonomic structure of the bacterial community within 24 agricultural soils managed with either organic or conventional methods, over a 3-year period. Relative abundance of the proportionately larger phyla (e.g. Acidobacteria and Actinobacteria) was primarily affected by sample year rather than crop management. Changes of abundance in these phyla were correlated with changes in pH, organic nitrogen and soil basal respiration. Crop management affected some of the less dominant phyla (Chloroflexi, Nitrospirae, Gemmatimonadetes) which also correlated with pH and organic N. ConclusionSoil diversity can vary with changing environmental variables and soil chemistry. If these factors remain constant, soil diversity can also remain constant even under changing land use. Significance and Impact of the StudyThe impact of crop management on environmental variables must be considered when interpreting bacterial diversity studies in agricultural soils. Impact of land use change should always be monitored across different sampling time points. Further studies at the functional group level are necessary to assess whether management-induced changes in bacterial community structure are of biological and agronomic relevance.	2015	10.1111/jam.12822
Liu, JW; Liu, XS; Wang, M; Qiao, YL; Zheng, YF; Zhang, XH	Bacterial and Archaeal Communities in Sediments of the North Chinese Marginal Seas	MICROBIAL ECOLOGY	Microbial communities of the Chinese marginal seas have rarely been reported. Here, bacterial and archaeal community structures and abundance in the surface sediment of four sea areas including the Bohai Sea (BS), North Yellow Sea (NYS), South Yellow Sea (SYS), and the north East China Sea (NECS) were surveyed by 16S ribosomal RNA (rRNA) gene pyrosequencing and quantitative PCR. The results showed that microbial communities of the four geographic areas were distinct from each other at the operational taxonomic unit (OTU) level, whereas the microbial communities of the BS, NYS, and SYS were more similar to each other than to the NECS at higher taxonomic levels. Across all samples, Bacteria were numerically dominant relative to Archaea, and among them, Gammaproteobacteria and Euryarchaeota were predominant in the BS, NYS, and SYS, while Deltaproteobacteria and Thaumarchaeota were prevalent in the NECS. The most abundant bacterial genera were putative sulfur oxidizer and sulfate reducer, suggesting that sulfur cycle processes might prevail in these areas, and the high abundance of dsrB (10(7)-10(8) copies g(-1)) in all sites verified the dominance of sulfate reducer in the north Chinese marginal seas. The differences in sediment sources among the sampling areas were potential explanations for the observed microbial community variations. Furthermore, temperature and dissolved oxygen of bottom water were significant environmental factors in determining both bacterial and archaeal communities, whereas chlorophyll a in sediment was significant only in structuring archaeal community. This study presented an outline of benthic microbial communities and provided insights into understanding the biogeochemical cycles in sediments of the north Chinese marginal seas.	2015	10.1007/s00248-014-0553-8
Shi, Y; Grogan, P; Sun, HB; Xiong, JB; Yang, YF; Zhou, JZ; Chu, HY	Multi-scale variability analysis reveals the importance of spatial distance in shaping Arctic soil microbial functional communities	SOIL BIOLOGY & BIOCHEMISTRY	Understanding biological diversity and distribution patterns at multiple spatial scales is a central issue in ecology. Here, we investigated the biogeographical patterns of microbial functional genes in 24 heath soils from across the Arctic using GeoChip-based metagenomics and principal coordinates of neighbour matrices (PCNM)-based analysis. Functional gene richness varied considerably among sites, while the proportions of each major functional gene category were evenly distributed. Functional gene composition varied significantly at most medium to large spatial scales, and the PCNM analyses indicated that 14 20% of the variation in total and major functional gene categories could be attributed primarily to relatively large-scale spatial effects that were consistent with broad-scale variation in soil pH and total nitrogen. The combination of variance partitioning and multi-scales analysis indicated that spatial distance effects accounted for 12% of the total variation in functional gene composition, whereas environmental factors accounted for only 3%. This small but significant influence of spatial variation in determining functional gene distributions contrasts sharply with typical microbial phylotype/species-based biogeographical patterns (including these same Arctic soil samples), which are primarily determined by contemporary environmental heterogeneities. Therefore, our results suggest that historical contingencies such as disturbance events, physical heterogeneities, community interactions or dispersal barriers that occurred in the past, have some significant influence on soil functional gene distribution patterns. (C) 2015 Elsevier Ltd. All rights reserved.	2015	10.1016/j.soilbio.2015.03.028
